AD,,,,
AF,SBK,Spin Boldak,3100N 06624E,
AF,TQN,Taluqan,,
AF,TKO,Tarin Kowt,3237N 06552E,
AF,TII,Tirinkot,,
AF,TGH,Torghundi,,
AF,RKH,Torkham,3453N 07155E,
AF,TOW,Towraghondi,3515N 06217E,
AF,URN,Urgoon,,
AF,URZ,Uruzgan,,
AF,ZAJ,Zaranj,,
AF,ZHA,Zhari Dasht,3138N 06531E,
AG,,,,
AG,ANU,Antigua,,
AG,BBQ,Barbuda,,
AG,FAM,Falmouth,1701N 06147W,
AG,PHM,Parham,1705N 06145W,
AG,SJO,Saint John's,1707N 06151W,
AI,,,,
AI,AXA,Anguilla,,
AI,BLP,Blowing Point,,
AI,CRH,Crocus Hill,1813N 06304W,
AI,MBB,Meads Bay Beach,1810N 06308W,
AI,RBY,Road Bay,,
AI,SOM,Sombrero,1836N 06328W,
AI,FOR,The Forest,,
AI,ROA,The Road,,
AI,VAL,The Valley,1813N 06303W,
AI,WLL,Wall Blake,,
AL,,,,
AL,ARG,Argyrokastro,4007N 02013E,
AL,BRT,Berat,4043N 01957E,
AL,BUT,Butrint,3945N 02001E,
AL,DRZ,Durres,,
AL,NPP,Elbasan,4106N 02004E,
AL,FIE,Fier,4044N 01934E,
AL,FUS,Fushe Arrez,4203N 02001E,
AL,GOK,Gjirokaster,4005N 02009E,
AL,HMR,Himare,4008N 01943E,
AL,KRC,Korce,4037N 02046E,
AL,KKU,Kukes,4204N 20251E,
AL,LZE,Lezhe,4147N 01938E,
AL,LUS,Lushnje,4056N 01942E,
AL,SAR,Sarande,3953N 02000E,
AL,SHG,Shengjin,4148N 01934E,
AL,SHK,Shkoder,4204N 01931E,
AL,SHZ,Shkozet,4162N 01934E,
AL,TEN,Tenes,,
AL,TIA,Tirana,,
AL,VOA,Vlore,4028N 01929E,
AL,VOR,Vore,4123N 01939E,
AM,,,,
AM,ABO,Abovyan,4016N 04447E,
AM,AHU,Akhuryan,,
AM,A3A,Aparan,4035N 04421E,
AM,ARG,Aragatsotn,4015N 04410E,
AM,ARA,Ararat,3950N 04441E,
AM,ARV,Armavir,4009N 04401E,
AM,ASH,Ashtarak,4018N 04421E,
AM,BRD,Berd,4052N 04523E,
AM,BYU,Byureghavan,4018N 04435E,
AM,DIL,Dilijan,4044N 04452E,
AM,EZN,Ecmiadzin,4009N 04417E,
AM,GRS,Goris,3930N 04620E,
AM,LWN,Gyumri,4048N 04350E,
AM,JER,Jermuk,,
AM,KJN,Kajaran,3909N 04609E,
AM,KPN,Kapan,3912N 04624E,
AM,ARM,Masis,4001N 04429E,
AM,RN4,Rind,3945N 04510E,
AM,SPI,Spitak,4050N 04416E,
AM,VZR,Vanadzor,4048N 04428E,
AM,VED,Vedi,3954N 04443E,
AM,EVN,Yerevan,4011N 04431E,
AO,,,,
AO,AZZ,Ambriz,,
AO,ANL,Andulo,,
AO,BAB,Baba,1450S 01214E,
AO,BDT,Baia dos Tigres,1636S 01144E,
AO,BDD,Barra do Dande,,
AO,BUG,Benguela,,
AO,CAB,Cabinda,,
AO,CFF,Cafunfo,,
AO,CNZ,Cangamba,,
AO,KNP,Capanda,,
AO,CPO,Capulo,0759S 01310E,
AO,CBT,Catumbela,,
AO,CAV,Cazombo,,
AO,PGI,Chitato,,
AO,CLV,CLOV FPSO,0727S 01134E,
AO,CUI,Cuio,1259S 01259E,
AO,CTI,Cuito Cuanavale,,
AO,DAL,Dalia,0741S 01147E,
AO,DRC,Dirico,,
AO,DGR,Dombe Grande,,
AO,DUE,Dundo,,
AO,ETN,Essungo Terminal,0620S 01210E,
AO,FBY,Farta Bay,1237S 01312E,
AO,FLT,Futila Terminal,0527S 01211E,
AO,GIM,Gimboa,0732S 01210E,
AO,GIR,Girassol Terminal,0738S 01141E,
AO,GPO,Greater Plutonio,0750S 01207E,
AO,NOV,Huambo,,
AO,JMB,Jamba,,
AO,KTI,Kiame Terminal,,
AO,SVP,Kuito,,
AO,KOT,Kuito Terminal,0526S 01129E,
AO,LAA,Landana (Cacongo),,
AO,LIE,Lieura,,
AO,LOB,Lobito,,
AO,LBT,Lombo Terminal,0659S 01221E,
AO,LAD,Luanda,,
AO,UAL,Luau,,
AO,SDD,Lubango,,
AO,LUC,Lucira,,
AO,LUO,Luena,,
AO,LBZ,Lukapa,,
AO,GGC,Lumbala,,
AO,LZM,Luzamba,,
AO,MEG,Malange,,
AO,MLO,Malembo,,
AO,MAL,Malongo,,
AO,MDZ,Maquela Do Zombo,0604S 01506E,
AO,MTL,Matala,1444S 01502E,
AO,SSY,M'banza Congo,,
AO,SPP,Menongue,,
AO,MOS,Mocamedes,1510S 01209E,
AO,MSZ,Namibe,,
AO,NDF,N'dalatando,0918S 01455E,
AO,GXG,Negage,,
AO,NQI,Noqui,0551S 01326E,
AO,,Novo Redondo = Sumbe,,
AO,NRQ,N'Riquinha,,
AO,NZA,Nzagi,,
AO,ARZ,N'Zeto,,
AO,NTO,N'Zeto (Ambrizete),0716S 01251E,
AO,NGV,Ondjiva,1704S 01544E,
